,Name,Series title,Country of publication,Material type,Place of publication,Publisher,Genre,Languages
162,"Rossetti, Christina Georgina",,England,Volume,London,,,
163,"Rossetti, Christina Georgina",,England,Volume,London,Blackie,,
164,"Rossetti, Christina Georgina",,,Volume,Boston ; Cambridge ; Massachusetts,208. Roberts Brothers,,
165,"Rossetti, Christina Georgina",,,Online resource,Boston ; Cambridge ; Massachusetts,Roberts Brothers,,English
166,"Rossetti, Christina Georgina",,,Volume,Boston,Roberts,,
167,"Rossetti, Christina Georgina",,England,Volume,London,Macmillan,,English
168,"Ross, Graham",,England,Volume,London,Novello,,English
169,"Assersohn, Ian",,England,Volume,"Templecombe, Somerset",Recital Music,Song,English
170,"Rossetti, Christina Georgina",Hesperus classics,England,Volume,London,Hesperus,Fiction,English
171,"Rossetti, Christina Georgina",,England,Volume,London,,,
172,"Rossetti, Christina Georgina",,England,Online resource,London,,,
173,"Rossetti, Christina Georgina",,,Volume,,,,
